Ensembl ID;genes;Phase
ENSG00000048544;MRPS10;G2M
ENSG00000125901;MRPS26;S
ENSG00000074071;MRPS34;G2M
ENSG00000116062;MSH6;G2M
ENSG00000134602;MST4;G2M
ENSG00000146410;MTFR2;G1
ENSG00000063601;MTMR1;G1
ENSG00000101057;MYBL2;G2M
ENSG00000136449;MYCBPAP;G2M
ENSG00000134323;MYCN;G2M
ENSG00000109063;MYH3;G2M
ENSG00000133454;MYO18B;G1
ENSG00000142347;MYO1F;S
ENSG00000071909;MYO3B;S
ENSG00000138119;MYOF;G2M
ENSG00000177791;MYOZ1;G2M
ENSG00000156239;N6AMT1;G1
ENSG00000128534;NAA38;S+G2M
ENSG00000104490;NCALD;S+G2M
ENSG00000124151;NCOA3;G1
ENSG00000196498;NCOR2;G2M
ENSG00000162736;NCSTN;G2M
ENSG00000183648;NDUFB1;G2M
ENSG00000188986;NELFB;G2M
ENSG00000196712;NF1;G1
ENSG00000102908;NFAT5;G1
ENSG00000165030;NFIL3;G1
ENSG00000100906;NFKBIA;G2M
ENSG00000104825;NFKBIB;S
ENSG00000146232;NFKBIE;G2M
ENSG00000144802;NFKBIZ;G2M
ENSG00000084628;NKAIN1;S
ENSG00000189134;NKAPL;G1
ENSG00000171487;NLRP5;G1
ENSG00000162408;NOL9;G2M
ENSG00000196943;NOP9;G1
ENSG00000142546;NOSIP;S+G2M
ENSG00000144061;NPHP1;G2M
ENSG00000131910;NR0B2;G2M
ENSG00000131408;NR1H2;S+G2M
ENSG00000153234;NR4A2;G2M
ENSG00000154146;NRGN;G1
ENSG00000073969;NSF;G2M
ENSG00000169189;NSMCE1;G2M
ENSG00000107672;NSMCE4A;G2M
ENSG00000140538;NTRK3;G1
ENSG00000170917;NUDT6;G1
ENSG00000167799;NUDT8;G2M
ENSG00000184507;NUTM1;G2M
ENSG00000182575;NXPH3;G1
ENSG00000171102;OBP2B;G1
ENSG00000135336;ORC3;G2M
ENSG00000085465;OVGP1;G1
ENSG00000151093;OXSM;G2M
ENSG00000187848;P2RX2;G2M
ENSG00000083454;P2RX5;G1
ENSG00000100266;PACSIN2;G2M
ENSG00000234068;PAGE2;G2M
ENSG00000180370;PAK2;G1
ENSG00000137843;PAK6;G2M
ENSG00000120137;PANK3;G1
ENSG00000148832;PAOX;S+G2M
